P_min,P_max,P_range,S_mean,M_sum,M_mean,M_max,num_domains,closed_units,step,wall_time_s
1.0798746741531198,1.4041568160374513,0.3242821418843316,0.7039043670060274,1901.401674925227,0.11605234832307294,0.4807114388103484,1992,0,2000,27.53
2.5530430369219483,2.863738996919146,0.3106959599971977,0.7414390635785736,1848.5829418825117,0.11282854869888377,0.5216221492682009,1939,0,4000,99.44
3.2136419726072414,3.441248201536769,0.22760622892952753,0.7457244996417951,1591.3231138747897,0.09712665489958433,0.41852172372723667,608,2,6000,147.24
0.8106511625625684,1.0167145852681454,0.20606342270557698,0.5130677461309505,820.2092418513055,0.05006159923408847,0.14864943342561013,280,1,8000,163.76
0.04627045043309906,0.42445640395355533,0.37818595352045625,0.2261711550760558,369.25427550927645,0.022537492401689237,0.09680770220306384,1,1,10000,175.85
0.00015214605155368916,0.30529218157025967,0.305140035518706,0.1289157788834871,227.1161539065995,0.013862069940588348,0.22567807412553328,1,1,12000,187.05
0.00031621115731479064,0.2941888237214062,0.2938726125640914,0.26806554066986105,205.296755049381,0.012530319522056946,0.46640449317159155,33,3,14000,199.07
0.0007751094958416577,0.4315681760822554,0.43079306658641375,0.6627497523010004,688.595266704282,0.04202851969630628,0.6727446876941242,150,3,16000,213.46
0.00046389143194667284,0.27472317149416947,0.2742592800622228,0.16361732487760242,152.39469099542805,0.009301433776576419,0.5304080128739778,238,0,18000,233.74
0.00029522074721064124,0.20902823071734342,0.20873300997013278,0.1628090439023963,105.42415974446405,0.006434580062528323,0.264306035866786,16,9,20000,246.83
0.0002451625906177381,0.21783761771025859,0.21759245511964084,0.16347615528703452,105.80777424986812,0.006457994033805427,0.15850876470246156,16,6,22000,259.0
0.0002699748516755864,0.19933616695477513,0.19906619210309953,0.16335134297618886,105.47376074906306,0.006437607467594181,0.15295424693737272,16,7,24000,271.18
0.0002702677057600785,0.19940886281195053,0.19913859510619045,0.1632093025899832,105.03535815703106,0.0064108494968891025,0.1713977157060593,16,8,26000,283.36
0.00027114315840054106,0.199758944340843,0.19948780118244244,0.16323281655844235,104.39321925403746,0.006371656448610685,0.18069305997440654,16,8,28000,295.53
0.0002721276853123725,0.21227926421383206,0.21200713652851969,0.16344936096432328,105.03044838828558,0.006410549828386571,0.18571179511834104,16,7,30000,307.7
0.0002722489395176071,0.1993942996214205,0.1991220506819029,0.16323181948877388,105.35473664766855,0.006430342812968051,0.18774836770729006,17,8,32000,319.88
0.00027247257127481885,0.1998165370804301,0.19954406450915527,0.1631561699506532,104.08172066769205,0.006352644083721439,0.18793490021410098,17,8,34000,332.05
0.0002721864722401756,0.220046575537303,0.21977438906506283,0.1633936588865253,105.08914369189483,0.006414132305413503,0.1879280370445338,16,7,36000,344.22
0.00027237604102667247,0.19885829887806167,0.198585922837035,0.1633313674936987,105.63581752912742,0.006447498628486781,0.1885652025700645,16,7,38000,356.39
0.0002689794508865445,0.19944472389496537,0.19917574444407882,0.16317521981908875,104.47201787650471,0.006376465934845258,0.1802717111416718,16,8,40000,368.56
0.00027036477766498085,0.20750400294878651,0.20723363817112153,0.16331089683671057,104.90997763640951,0.00640319687722226,0.17893615954020298,16,8,42000,380.73
0.0002720159349226768,0.1997828886893719,0.19951087275444923,0.1634316539398373,105.28501826656282,0.006426087540683766,0.18555287009269433,16,7,44000,392.89
0.00027172944940981764,0.19926657706093973,0.1989948476115299,0.1631808217042037,105.02377856217913,0.006410142734508004,0.1879638643774758,16,8,46000,405.07
0.00027223311420986426,0.20084649762031323,0.20057426450610336,0.16322840183094423,104.37705150290023,0.006370669647393813,0.18865147121660295,16,8,48000,417.23
0.0002725697134802847,0.21545651571782448,0.2151839460043442,0.16340097661775776,105.17112135350555,0.006419135824798923,0.18866773506265083,16,7,50000,429.4
0.00027411651335199197,0.1993280323886073,0.1990539158752553,0.16324803659048057,105.44890324422339,0.006436090285902306,0.18953299447709868,17,8,52000,441.57
0.0002687377402497378,0.19903015196223495,0.1987614142219852,0.16317479174367622,104.0695266368241,0.0063518998191420956,0.18146094165526114,17,8,54000,453.74
0.0002688063748255173,0.21993646173175138,0.21966765535692587,0.16337987935092196,105.09928384568215,0.006414751211284311,0.1778214673478721,16,8,56000,465.94
0.00027161511412273563,0.19955719208726658,0.19928557697314384,0.16337612577357635,105.66125349461673,0.006449051116614791,0.18545314169680086,16,7,58000,478.12
0.00027233419813398155,0.19918242717309062,0.19891009297495663,0.16317817158876377,104.87270120856601,0.0064009217046243905,0.18790374114887032,16,8,60000,490.28
0.00027194610676680835,0.19973415304858655,0.19946220694181974,0.16326636563895397,104.62600403026835,0.006385864503800558,0.18805338356572193,16,8,62000,502.45
0.00027138083583937514,0.20723790701992761,0.20696652618408823,0.1634366560410877,105.06032741112159,0.006412373499213964,0.18765612483432625,16,7,64000,514.62
0.00027260820787232886,0.1995110575899112,0.19923844938203886,0.16320786386968655,105.14533100526812,0.006417561706864509,0.18827545379502733,16,8,66000,526.8
0.0002733905169809378,0.1993560322741536,0.19908264175717266,0.1631913647074063,104.03001350383195,0.006349488128895993,0.1891317255354342,17,8,68000,538.97
0.0002735736243995679,0.21886410103919718,0.21859052741479762,0.16341781228444607,105.01891406338184,0.006409845829063833,0.18907323326410777,16,7,70000,551.14
0.00026937055517180794,0.1993704220149268,0.19910105145975499,0.1632602832044327,105.41982282443598,0.0064343153579367665,0.18107353895857517,16,7,72000,563.32
0.0002697412456875173,0.19990388157610872,0.1996341403304212,0.16317378866544208,104.24035718798848,0.0063623264885246875,0.17801012214775797,17,8,74000,575.51
0.0002708606284236325,0.21710431798614951,0.21683345735772588,0.16335696258595334,105.07186679112432,0.006413077807075459,0.1836934221243928,16,8,76000,587.68
0.00027173524031176257,0.19950687022371583,0.19923513498340406,0.16343026167332325,105.59565593321562,0.006445047359205055,0.18783982946659367,16,7,78000,599.86
0.00027280271288183553,0.19925996388564476,0.19898716117276294,0.16320013379176107,104.95844040400561,0.006406154809814796,0.18845153295638487,16,8,80000,612.03
0.00027277784793435043,0.19964587048396532,0.19937309263603095,0.16325778119807913,104.6040157149435,0.006384522443539032,0.1882701131485307,16,8,82000,624.22
0.0002727000861292183,0.2108925217679783,0.21061982168184906,0.16343067380188797,105.05946298205617,0.00641232073865089,0.18817165958696233,16,7,84000,636.42
0.0002732382427894477,0.19980853801117546,0.19953529976838602,0.1632024454801641,105.31791417703565,0.006428095347719461,0.1887256391977457,17,8,86000,648.59
0.0002692874256431199,0.19920514935171957,0.19893586192607646,0.16317586599721573,104.01996655421773,0.006348874911756453,0.18370863676260696,17,8,88000,660.76
0.00026840807072442326,0.21904626993971568,0.21877786186899126,0.16339389251502867,105.03672173691128,0.006410932723200151,0.17777030224688212,16,7,90000,672.93
0.0002720111008737781,0.1996304925866461,0.19935848148577234,0.1633361880358909,105.65672334997117,0.006448774618528514,0.1848616999016807,16,7,92000,685.1
